client_id,recency_login_days,frequency_api_calls,monthly_spend_mxn,active_user_seats
CLIENT_2000,77,1860,3596.06,1
CLIENT_2001,1,44001,49550.08,42
CLIENT_2002,11,37254,36651.3,7
CLIENT_2003,1,240455,102850.5,200
CLIENT_2004,2,10287,51444.35,5
CLIENT_2005,0,200288,99838.33,192
CLIENT_2006,7,41258,30699.07,9
CLIENT_2007,59,383,9463.5,3
CLIENT_2008,85,1620,9411.6,2
CLIENT_2009,4,58007,220749.95,278
CLIENT_2010,2,136740,111688.85,132
CLIENT_2011,35,623,4870.64,1
CLIENT_2012,2,14510,47120.21,36
CLIENT_2013,6,10984,48642.42,19
CLIENT_2014,1,39016,32616.69,6
CLIENT_2015,8,31727,43090.71,10
CLIENT_2016,16,1252,4679.24,3
CLIENT_2017,42,527,9151.14,1
CLIENT_2018,0,94028,122243.15,232
CLIENT_2019,3,69029,201390.89,54
CLIENT_2020,47,1982,2885.05,1
CLIENT_2021,4,70103,105485.96,96
CLIENT_2022,13,25609,15549.14,40
CLIENT_2023,11,39884,52205.95,14
CLIENT_2024,6,17999,34061.86,30
CLIENT_2025,21,267,6689.84,2
CLIENT_2026,0,238014,203436.25,220
CLIENT_2027,77,1206,9380.0,3
CLIENT_2028,3,246382,183141.56,295
CLIENT_2029,0,184869,234816.65,50
CLIENT_2030,4,182717,111674.55,264
CLIENT_2031,72,616,3819.16,3
CLIENT_2032,9,14524,30083.88,30
CLIENT_2033,4,39393,56393.5,6
CLIENT_2034,11,41368,41418.07,28
CLIENT_2035,4,24956,56168.07,33
CLIENT_2036,6,24097,15589.25,25
CLIENT_2037,1,24816,21689.82,26
CLIENT_2038,4,112823,165373.15,50
CLIENT_2039,14,31838,34205.5,23
CLIENT_2040,14,32952,16644.74,34
CLIENT_2041,28,67,4352.36,3
CLIENT_2042,2,11645,34834.32,34
CLIENT_2043,4,17342,57575.2,36
CLIENT_2044,3,15093,38696.03,37
CLIENT_2045,3,76399,201715.28,142
CLIENT_2046,9,15998,26424.99,27
CLIENT_2047,81,1127,4714.17,1
CLIENT_2048,0,135595,120491.07,211
CLIENT_2049,87,1361,8845.57,3
CLIENT_2050,46,231,3639.87,3
CLIENT_2051,2,11150,43495.83,37
CLIENT_2052,2,201151,110844.02,85
CLIENT_2053,2,13705,55978.08,9
CLIENT_2054,10,20358,32086.16,27
CLIENT_2055,3,64596,138682.66,271
CLIENT_2056,5,12083,24877.97,26
CLIENT_2057,83,1231,5899.45,2
CLIENT_2058,1,33529,16011.12,18
CLIENT_2059,75,286,5220.4,1
CLIENT_2060,2,101693,247348.37,235
CLIENT_2061,46,124,8580.67,1
CLIENT_2062,50,983,2537.4,1
CLIENT_2063,85,1672,2852.63,2
CLIENT_2064,0,131182,228561.31,217
CLIENT_2065,13,13646,40798.25,21
CLIENT_2066,12,34373,38351.3,6
CLIENT_2067,2,242192,94075.77,85
CLIENT_2068,38,198,8696.63,3
CLIENT_2069,1,29762,28370.48,39
CLIENT_2070,64,672,9632.7,2
CLIENT_2071,42,1835,2249.47,3
CLIENT_2072,11,17112,37336.48,38
CLIENT_2073,2,6524,30497.27,44
CLIENT_2074,70,988,6786.29,1
CLIENT_2075,2,78145,215900.7,221
CLIENT_2076,21,324,4516.77,3
CLIENT_2077,70,1090,9601.9,3
CLIENT_2078,12,6341,58117.69,23
CLIENT_2079,30,1154,7270.27,2
CLIENT_2080,8,20896,55651.37,16
CLIENT_2081,1,140600,240490.09,96
CLIENT_2082,0,193254,174487.12,135
CLIENT_2083,23,384,7579.36,1
CLIENT_2084,1,91786,240525.3,131
CLIENT_2085,48,1044,4552.8,2
CLIENT_2086,14,14374,31411.38,38
CLIENT_2087,52,985,5528.26,3
CLIENT_2088,0,94547,214422.94,202
CLIENT_2089,42,65,5414.54,2
CLIENT_2090,3,5545,15957.12,17
CLIENT_2091,3,35586,59907.03,33
CLIENT_2092,71,294,5838.25,3
CLIENT_2093,14,29574,33961.07,9
CLIENT_2094,58,52,5738.49,2
CLIENT_2095,27,342,2336.75,1
CLIENT_2096,88,634,2875.74,1
CLIENT_2097,21,236,9599.69,1
CLIENT_2098,12,42573,59204.87,28
CLIENT_2099,13,19561,22516.53,8
CLIENT_2100,3,219269,183315.26,286
CLIENT_2101,2,111665,145295.4,218
CLIENT_2102,2,195271,139521.29,54
CLIENT_2103,7,16362,41877.33,39
CLIENT_2104,71,1218,3231.17,3
CLIENT_2105,4,110504,180799.79,191
CLIENT_2106,20,1690,5129.36,3
CLIENT_2107,0,67602,242460.75,125
CLIENT_2108,0,114772,204986.15,275
CLIENT_2109,6,19663,46307.14,30
CLIENT_2110,5,14903,45746.64,9
CLIENT_2111,49,1374,5844.69,1
CLIENT_2112,76,1641,7296.9,3
CLIENT_2113,42,1335,6170.08,1
CLIENT_2114,0,155228,222292.27,138
CLIENT_2115,72,1740,8021.73,3
CLIENT_2116,54,875,5723.76,3
CLIENT_2117,19,721,4680.95,2
CLIENT_2118,11,1791,8053.09,3
CLIENT_2119,4,241533,135493.71,282
CLIENT_2120,2,17987,15408.26,39
CLIENT_2121,2,228589,83132.71,282
CLIENT_2122,72,1485,7060.98,2
CLIENT_2123,31,1269,3390.03,2
CLIENT_2124,73,1090,8167.87,1
CLIENT_2125,1,25953,18361.25,22
CLIENT_2126,73,736,9751.02,3
CLIENT_2127,4,77083,84179.78,188
CLIENT_2128,88,996,4020.07,3
CLIENT_2129,14,18025,59870.6,21
CLIENT_2130,0,249950,215117.62,206
CLIENT_2131,2,18261,25352.42,15
CLIENT_2132,1,33087,34455.07,25
CLIENT_2133,68,133,5180.76,1
CLIENT_2134,11,12424,29433.42,42
CLIENT_2135,4,229362,85292.79,74
CLIENT_2136,27,1344,5772.26,3
CLIENT_2137,55,1034,8948.99,1
CLIENT_2138,2,135553,209374.08,180
CLIENT_2139,53,742,9294.69,2
CLIENT_2140,14,5526,36668.51,18
CLIENT_2141,14,18547,26139.3,13
CLIENT_2142,0,179749,178935.14,166
CLIENT_2143,8,34759,35484.91,12
CLIENT_2144,14,35015,32799.53,35
CLIENT_2145,20,1374,8056.47,2
CLIENT_2146,20,263,7993.29,1
CLIENT_2147,0,233341,104224.24,129
CLIENT_2148,12,40488,40184.19,36
CLIENT_2149,11,274,2702.93,1
