sku_id,daily_picking_frequency,unit_weight_kg,storage_volume_m3,stackability_index
PART_001,55,5.5,0.002,5
PART_002,47,7.1,0.035,5
PART_003,45,8.1,0.05,5
PART_004,51,4.9,0.045,5
PART_005,47,8.5,0.029,5
PART_006,43,7.8,0.046,4
PART_007,47,1.1,0.001,5
PART_008,57,0.9,0.049,5
PART_009,44,6.4,0.025,5
PART_010,48,3.8,0.036,5
PART_011,43,2.5,0.041,5
PART_012,56,6.0,0.036,5
PART_013,48,3.7,0.027,5
PART_014,40,5.6,0.024,4
PART_015,59,4.9,0.042,5
PART_016,52,6.1,0.011,4
PART_017,55,4.3,0.048,5
PART_018,52,7.1,0.036,5
PART_019,53,2.2,0.011,4
PART_020,42,7.1,0.037,4
PART_021,45,4.4,0.027,4
PART_022,57,8.8,0.036,5
PART_023,58,5.4,0.039,5
PART_024,44,9.7,0.005,4
PART_025,54,6.2,0.026,5
PART_026,16,17.8,0.376,4
PART_027,24,38.8,0.162,3
PART_028,32,22.1,0.258,4
PART_029,27,22.2,0.179,4
PART_030,19,11.1,0.209,3
PART_031,15,29.2,0.242,3
PART_032,15,28.7,0.242,3
PART_033,32,22.5,0.121,3
PART_034,29,41.3,0.29,4
PART_035,31,14.5,0.081,4
PART_036,25,21.6,0.099,3
PART_037,31,21.3,0.051,3
PART_038,27,13.2,0.091,3
PART_039,15,26.8,0.216,3
PART_040,16,34.1,0.262,4
PART_041,23,27.9,0.328,3
PART_042,17,15.5,0.087,3
PART_043,15,23.2,0.348,3
PART_044,30,10.1,0.311,4
PART_045,20,40.4,0.193,3
PART_046,31,13.0,0.377,4
PART_047,19,30.9,0.397,3
PART_048,19,44.5,0.122,4
PART_049,20,28.8,0.183,4
PART_050,17,42.3,0.374,3
PART_051,19,18.3,0.303,3
PART_052,19,36.6,0.067,4
PART_053,24,28.6,0.324,4
PART_054,24,35.2,0.34,3
PART_055,33,12.2,0.313,3
PART_056,31,15.2,0.33,4
PART_057,28,14.7,0.339,3
PART_058,23,34.1,0.115,3
PART_059,28,39.6,0.132,4
PART_060,15,36.2,0.272,3
PART_061,33,11.1,0.368,3
PART_062,27,40.4,0.161,3
PART_063,27,22.4,0.256,3
PART_064,18,23.9,0.289,3
PART_065,15,13.7,0.208,4
PART_066,31,35.8,0.3,3
PART_067,22,16.4,0.365,3
PART_068,16,29.7,0.268,3
PART_069,22,39.4,0.239,3
PART_070,21,13.1,0.204,4
PART_071,2,119.6,1.482,1
PART_072,6,80.3,1.104,1
PART_073,6,94.6,1.166,2
PART_074,3,111.6,1.404,1
PART_075,2,96.2,0.613,1
PART_076,1,134.3,0.889,1
PART_077,6,112.3,1.423,1
PART_078,5,125.9,1.234,1
PART_079,9,145.8,1.066,1
PART_080,1,122.5,1.742,2
PART_081,7,126.2,1.679,1
PART_082,5,123.4,0.783,1
PART_083,5,99.2,1.994,1
PART_084,2,93.9,1.342,1
PART_085,3,167.0,1.76,2
PART_086,7,129.0,1.474,1
PART_087,6,81.8,2.196,1
PART_088,2,114.8,1.779,2
PART_089,6,92.9,1.702,1
PART_090,2,171.4,1.824,1
PART_091,2,51.0,0.743,1
PART_092,2,79.3,0.848,1
PART_093,3,97.5,1.714,2
PART_094,2,113.4,1.34,1
PART_095,4,160.6,1.783,1
PART_096,9,61.4,0.675,1
PART_097,6,154.8,1.412,2
PART_098,1,57.2,1.144,1
PART_099,8,159.5,1.277,2
PART_100,7,56.7,1.527,1
