timestamp,solar_radiation_w_m2,ambient_temp_c,wind_speed_m_s
2026-08-01 00:00:00,0.0,21.15,3.33
2026-08-01 01:00:00,0.0,20.32,5.33
2026-08-01 02:00:00,0.0,19.02,3.22
2026-08-01 03:00:00,0.0,20.26,4.42
2026-08-01 04:00:00,0.0,18.83,4.15
2026-08-01 05:00:00,0.0,19.43,2.94
2026-08-01 06:00:00,7.26,19.23,1.43
2026-08-01 07:00:00,203.13,21.19,3.88
2026-08-01 08:00:00,397.76,22.32,5.26
2026-08-01 09:00:00,594.27,25.05,1.79
2026-08-01 10:00:00,719.79,26.64,2.12
2026-08-01 11:00:00,832.31,27.52,3.15
2026-08-01 12:00:00,831.95,30.72,3.48
2026-08-01 13:00:00,789.31,30.85,2.03
2026-08-01 14:00:00,742.39,29.23,1.91
2026-08-01 15:00:00,606.95,31.59,3.71
2026-08-01 16:00:00,421.53,30.55,1.73
2026-08-01 17:00:00,198.4,29.83,4.77
2026-08-01 18:00:00,10.31,27.83,3.89
2026-08-01 19:00:00,0.0,27.69,2.69
2026-08-01 20:00:00,0.0,27.04,4.74
2026-08-01 21:00:00,0.0,25.75,2.49
2026-08-01 22:00:00,0.0,23.2,3.9
2026-08-01 23:00:00,0.0,22.78,2.92
2026-08-02 00:00:00,0.0,20.61,2.17
2026-08-02 01:00:00,0.0,18.85,4.48
2026-08-02 02:00:00,0.0,20.29,3.41
2026-08-02 03:00:00,0.0,19.8,3.93
2026-08-02 04:00:00,0.0,18.69,3.93
2026-08-02 05:00:00,0.0,21.03,3.46
2026-08-02 06:00:00,46.94,18.66,4.49
2026-08-02 07:00:00,222.61,21.76,3.61
2026-08-02 08:00:00,365.37,23.27,3.93
2026-08-02 09:00:00,645.38,24.59,2.53
2026-08-02 10:00:00,721.07,27.29,3.89
2026-08-02 11:00:00,805.14,28.41,3.62
2026-08-02 12:00:00,879.06,28.68,3.11
2026-08-02 13:00:00,809.27,29.03,3.86
2026-08-02 14:00:00,743.95,30.8,3.22
2026-08-02 15:00:00,558.58,30.66,3.09
2026-08-02 16:00:00,400.93,30.67,3.98
2026-08-02 17:00:00,276.58,30.34,3.81
2026-08-02 18:00:00,0.0,27.71,3.47
2026-08-02 19:00:00,0.0,28.05,6.46
2026-08-02 20:00:00,0.0,26.4,3.86
2026-08-02 21:00:00,0.0,24.97,2.1
2026-08-02 22:00:00,0.0,24.36,4.4
2026-08-02 23:00:00,0.0,22.63,2.41
2026-08-03 00:00:00,0.0,21.88,1.82
2026-08-03 01:00:00,0.0,20.27,6.13
2026-08-03 02:00:00,0.0,18.41,2.82
2026-08-03 03:00:00,0.0,19.08,2.9
2026-08-03 04:00:00,0.0,17.96,3.58
2026-08-03 05:00:00,0.0,18.95,4.07
2026-08-03 06:00:00,0.0,22.0,2.56
2026-08-03 07:00:00,210.33,22.65,2.02
2026-08-03 08:00:00,431.82,24.49,1.57
2026-08-03 09:00:00,606.58,25.21,4.44
2026-08-03 10:00:00,699.01,25.5,4.13
2026-08-03 11:00:00,829.95,28.2,3.92
2026-08-03 12:00:00,829.6,29.43,3.85
2026-08-03 13:00:00,799.61,31.69,4.07
2026-08-03 14:00:00,700.38,31.32,2.33
2026-08-03 15:00:00,624.65,31.93,2.52
2026-08-03 16:00:00,453.9,31.13,4.49
2026-08-03 17:00:00,276.9,30.0,2.6
2026-08-03 18:00:00,0.0,28.59,3.41
2026-08-03 19:00:00,0.0,28.27,3.83
2026-08-03 20:00:00,0.0,27.21,3.52
2026-08-03 21:00:00,0.0,26.16,3.18
2026-08-03 22:00:00,0.0,25.62,4.25
2026-08-03 23:00:00,0.0,21.31,2.21
2026-08-04 00:00:00,0.0,21.14,3.23
2026-08-04 01:00:00,0.0,20.38,4.07
2026-08-04 02:00:00,0.0,19.15,2.48
2026-08-04 03:00:00,0.0,17.79,2.96
2026-08-04 04:00:00,0.0,19.89,3.76
2026-08-04 05:00:00,0.0,18.81,3.71
2026-08-04 06:00:00,11.56,20.05,3.68
2026-08-04 07:00:00,221.74,21.09,3.93
2026-08-04 08:00:00,441.82,24.31,4.76
2026-08-04 09:00:00,559.71,24.25,4.12
2026-08-04 10:00:00,751.54,26.96,8.12
2026-08-04 11:00:00,838.16,28.91,4.64
2026-08-04 12:00:00,869.54,28.99,4.41
2026-08-04 13:00:00,797.85,30.01,2.92
2026-08-04 14:00:00,738.58,32.65,1.26
2026-08-04 15:00:00,621.63,29.71,2.93
2026-08-04 16:00:00,457.67,30.85,2.21
2026-08-04 17:00:00,198.54,30.74,2.62
2026-08-04 18:00:00,6.49,29.28,2.72
2026-08-04 19:00:00,0.0,29.72,4.26
2026-08-04 20:00:00,0.0,24.93,3.72
2026-08-04 21:00:00,0.0,24.47,4.52
2026-08-04 22:00:00,0.0,22.81,3.36
2026-08-04 23:00:00,0.0,22.4,4.54
2026-08-05 00:00:00,0.0,19.8,3.1
2026-08-05 01:00:00,0.0,19.42,2.72
2026-08-05 02:00:00,0.0,20.62,3.99
2026-08-05 03:00:00,0.0,17.99,4.6
2026-08-05 04:00:00,0.0,20.9,4.74
2026-08-05 05:00:00,0.0,18.59,2.92
2026-08-05 06:00:00,38.01,20.19,4.03
2026-08-05 07:00:00,243.24,21.26,3.43
2026-08-05 08:00:00,327.76,22.63,3.2
2026-08-05 09:00:00,563.61,26.31,1.78
2026-08-05 10:00:00,722.92,26.66,5.23
2026-08-05 11:00:00,777.96,28.93,3.51
2026-08-05 12:00:00,820.55,29.61,3.74
2026-08-05 13:00:00,803.03,30.25,3.04
2026-08-05 14:00:00,739.53,31.33,5.4
2026-08-05 15:00:00,563.91,32.71,1.16
2026-08-05 16:00:00,420.45,31.27,3.84
2026-08-05 17:00:00,201.32,30.03,2.91
2026-08-05 18:00:00,0.0,29.92,3.93
2026-08-05 19:00:00,0.0,27.45,4.58
2026-08-05 20:00:00,0.0,26.8,4.48
2026-08-05 21:00:00,0.0,25.5,2.51
2026-08-05 22:00:00,0.0,23.0,4.4
2026-08-05 23:00:00,0.0,22.49,3.47
2026-08-06 00:00:00,0.0,20.85,5.03
2026-08-06 01:00:00,0.0,19.33,4.16
2026-08-06 02:00:00,0.0,19.04,3.24
2026-08-06 03:00:00,0.0,19.88,4.49
2026-08-06 04:00:00,0.0,19.86,5.07
2026-08-06 05:00:00,0.0,19.82,4.32
2026-08-06 06:00:00,0.0,21.02,3.34
2026-08-06 07:00:00,222.91,22.48,2.52
2026-08-06 08:00:00,487.77,22.64,2.04
2026-08-06 09:00:00,635.78,25.63,4.25
2026-08-06 10:00:00,754.97,26.54,2.42
2026-08-06 11:00:00,823.31,27.46,4.67
2026-08-06 12:00:00,845.59,28.58,3.11
2026-08-06 13:00:00,833.42,29.75,2.51
2026-08-06 14:00:00,743.43,30.99,2.89
2026-08-06 15:00:00,586.91,31.19,1.76
2026-08-06 16:00:00,382.78,30.22,3.24
2026-08-06 17:00:00,229.32,31.38,4.53
2026-08-06 18:00:00,0.0,29.23,2.3
2026-08-06 19:00:00,0.0,27.99,3.15
2026-08-06 20:00:00,0.0,26.81,2.51
2026-08-06 21:00:00,0.0,25.42,5.34
2026-08-06 22:00:00,0.0,23.36,3.98
2026-08-06 23:00:00,0.0,22.55,3.02
2026-08-07 00:00:00,0.0,20.94,3.52
2026-08-07 01:00:00,0.0,19.88,2.57
2026-08-07 02:00:00,0.0,19.22,4.1
2026-08-07 03:00:00,0.0,20.16,4.65
2026-08-07 04:00:00,0.0,20.93,2.58
2026-08-07 05:00:00,0.0,20.5,3.72
2026-08-07 06:00:00,65.69,20.11,2.49
2026-08-07 07:00:00,202.01,20.3,2.87
2026-08-07 08:00:00,402.23,23.57,3.91
2026-08-07 09:00:00,657.33,25.76,2.81
2026-08-07 10:00:00,709.17,26.95,1.92
2026-08-07 11:00:00,875.98,28.94,2.94
2026-08-07 12:00:00,798.61,30.33,3.36
2026-08-07 13:00:00,858.17,28.92,2.78
2026-08-07 14:00:00,736.28,30.83,2.96
2026-08-07 15:00:00,619.73,30.15,3.33
2026-08-07 16:00:00,428.61,31.21,4.35
2026-08-07 17:00:00,186.26,28.97,5.03
2026-08-07 18:00:00,9.97,28.64,5.36
2026-08-07 19:00:00,0.0,28.09,4.92
2026-08-07 20:00:00,0.0,26.61,5.97
2026-08-07 21:00:00,0.0,26.4,3.2
2026-08-07 22:00:00,0.0,24.22,4.27
2026-08-07 23:00:00,0.0,23.09,2.34
2026-08-08 00:00:00,0.0,21.31,4.77
2026-08-08 01:00:00,0.0,18.4,2.08
2026-08-08 02:00:00,0.0,17.57,3.18
2026-08-08 03:00:00,0.0,19.57,5.3
2026-08-08 04:00:00,0.0,19.26,5.45
2026-08-08 05:00:00,0.0,18.7,1.46
2026-08-08 06:00:00,0.0,21.06,3.46
2026-08-08 07:00:00,157.97,21.93,1.93
2026-08-08 08:00:00,445.09,23.74,2.37
2026-08-08 09:00:00,585.62,24.15,3.42
2026-08-08 10:00:00,764.78,25.76,4.1
2026-08-08 11:00:00,805.13,27.37,3.37
2026-08-08 12:00:00,818.94,28.8,2.06
2026-08-08 13:00:00,879.98,30.22,2.66
2026-08-08 14:00:00,742.54,30.71,3.23
2026-08-08 15:00:00,619.47,31.61,2.86
2026-08-08 16:00:00,407.73,30.58,0.74
2026-08-08 17:00:00,174.54,31.29,5.47
2026-08-08 18:00:00,0.0,29.7,3.87
2026-08-08 19:00:00,0.0,30.46,4.84
2026-08-08 20:00:00,0.0,26.45,2.35
2026-08-08 21:00:00,0.0,23.71,3.74
2026-08-08 22:00:00,0.0,22.84,1.79
2026-08-08 23:00:00,0.0,21.48,2.2
2026-08-09 00:00:00,0.0,22.11,4.56
2026-08-09 01:00:00,0.0,19.8,5.28
2026-08-09 02:00:00,0.0,19.27,2.47
2026-08-09 03:00:00,0.0,20.22,4.15
2026-08-09 04:00:00,0.0,18.37,3.27
2026-08-09 05:00:00,0.0,19.1,1.84
2026-08-09 06:00:00,27.79,22.28,1.82
2026-08-09 07:00:00,236.89,21.48,2.92
2026-08-09 08:00:00,407.23,22.76,3.56
2026-08-09 09:00:00,576.11,25.22,3.44
2026-08-09 10:00:00,728.95,25.83,2.81
2026-08-09 11:00:00,843.7,28.4,2.33
2026-08-09 12:00:00,852.98,29.84,1.5
2026-08-09 13:00:00,837.34,29.67,4.18
2026-08-09 14:00:00,713.22,29.35,1.55
2026-08-09 15:00:00,602.48,31.21,2.41
2026-08-09 16:00:00,444.16,29.47,3.42
2026-08-09 17:00:00,183.67,29.67,3.56
2026-08-09 18:00:00,0.0,28.93,4.71
2026-08-09 19:00:00,0.0,27.54,4.5
2026-08-09 20:00:00,0.0,25.65,4.14
2026-08-09 21:00:00,0.0,26.15,0.53
2026-08-09 22:00:00,0.0,22.81,4.19
2026-08-09 23:00:00,0.0,21.84,3.95
2026-08-10 00:00:00,0.0,20.27,3.6
2026-08-10 01:00:00,0.0,19.68,4.9
2026-08-10 02:00:00,0.0,19.41,3.91
2026-08-10 03:00:00,0.0,18.67,2.91
2026-08-10 04:00:00,0.0,18.86,3.97
2026-08-10 05:00:00,0.0,19.47,3.85
2026-08-10 06:00:00,62.26,21.45,3.11
2026-08-10 07:00:00,256.03,21.67,1.05
2026-08-10 08:00:00,394.76,21.95,3.08
2026-08-10 09:00:00,601.59,26.34,3.89
